iter	RMSE
0	3709.188924
1	3412.935727
2	3142.00692
3	2897.834573
4	2678.731316
5	2485.733904
6	2301.172688
7	2132.325491
8	1986.874011
9	1853.609318
10	1734.562749
11	1625.211198
12	1531.847994
13	1444.310721
14	1367.556099
15	1299.553766
16	1242.111446
17	1188.211652
18	1138.750872
19	1097.077503
20	1055.843955
21	1020.688778
22	988.7467693
23	959.9312567
24	932.7474681
25	911.3396422
26	887.9224396
27	867.3447547
28	851.6652777
29	835.2780407
30	821.3600475
31	808.7739039
32	796.3303536
33	787.1516797
34	777.5206155
35	768.5790727
36	760.416986
37	752.832018
38	745.253759
39	737.9588884
40	730.7702807
41	725.5920207
42	719.7114406
43	714.2301737
44	709.0476081
45	705.3289442
46	701.5657199
47	697.890666
48	694.8251541
49	691.4636414
50	687.1274038
51	684.3245766
52	680.280773
53	677.1844631
54	674.7449423
55	670.9406612
56	668.6538262
57	667.1223553
58	663.51611
59	661.1775292
60	657.6464263
61	654.7261279
62	653.244134
63	650.790462
64	649.1889568
65	647.0604597
66	645.3663369
67	643.6510588
68	640.7018655
69	638.8977119
70	637.4093827
71	636.1112648
72	634.6621964
73	632.903509
74	631.8968378
75	630.327165
76	628.8854081
77	627.3760145
78	626.1592849
79	625.6217055
80	624.3995262
81	623.7683778
82	623.0188382
83	621.7222429
84	620.0356407
85	619.380978
86	618.5364514
87	617.7271933
88	616.7286975
89	615.7335773
90	615.2303407
91	614.3359693
92	613.392723
93	612.8986951
94	612.4230085
95	611.1556163
96	610.6550777
97	609.9342354
98	608.6798592
99	608.2877911
100	607.8037926
101	607.2978097
102	606.3125962
103	605.7216651
104	605.3312222
105	604.8931949
106	604.6039963
107	603.7761693
108	603.4606889
109	602.7684724
110	602.3277314
111	601.8560965
112	601.1170814
113	600.8144024
114	600.5630299
115	600.2857774
116	599.7236477
117	599.2837618
118	598.6760837
119	598.5815699
120	598.1232647
121	597.927666
122	597.389862
123	597.217722
124	596.7978452
125	596.2273076
126	595.8492722
127	595.5406745
128	595.3332508
129	594.6664119
130	594.2819717
131	593.9060456
132	593.60694
133	593.2893054
134	593.1114096
135	592.7997924
136	592.5529523
137	592.4138431
138	592.2141982
139	591.9702257
140	591.5966426
141	591.4288756
142	591.1315947
143	590.6803057
144	590.39022
145	590.2039092
146	589.8423976
147	589.1416635
148	589.0130911
149	588.6434705
150	588.2408907
151	588.1272438
152	587.9363467
153	587.6802421
154	587.5233418
155	587.2636339
156	587.1341664
157	587.0211707
158	586.7795978
159	586.5718113
160	586.2496875
161	586.0476606
162	585.7832437
163	585.6195386
164	585.3676429
165	585.2407191
166	585.120259
167	584.8255664
168	584.687966
169	584.5273667
170	584.2764045
171	584.071565
172	583.8829862
173	583.7645932
174	583.5813096
175	583.479425
176	583.2721235
177	583.0094318
178	582.9193982
179	582.7137438
180	582.5585648
181	582.3222897
182	582.1945562
183	582.0719258
184	581.891366
185	581.7900521
186	581.630023
187	581.4713513
188	581.1569682
189	581.0063245
190	580.6822354
191	580.5667226
192	580.4343971
193	580.3537714
194	580.1490436
195	580.0085974
196	579.8769137
197	579.7319198
198	579.6315332
199	579.5120232
200	579.3953105
201	579.2697366
202	579.1922409
203	579.0411052
204	578.7064887
205	578.5119108
206	578.394407
207	578.2449316
208	578.175645
209	578.0478404
210	577.6691669
211	577.5030729
212	577.4333167
213	577.2448281
214	577.099523
215	577.0022493
216	576.9345261
217	576.8794141
218	576.7191299
219	576.5865937
220	576.4551037
221	576.3332684
222	576.2199854
223	576.1128566
224	575.9531091
225	575.8517226
226	575.7562131
227	575.6735104
228	575.4988368
229	575.3809783
230	575.2815951
231	575.1783281
232	575.0498223
233	574.9847682
234	574.8644596
235	574.8099273
236	574.7021905
237	574.5496292
238	574.4255895
239	574.326185
240	574.1521237
241	574.0282349
242	573.9808995
243	573.8658893
244	573.7459669
245	573.6455032
246	573.5353417
247	573.3975557
248	573.3678944
249	573.2831127
250	573.1387852
251	573.0802014
252	572.9905654
253	572.9007925
254	572.8651397
255	572.7341884
256	572.5997447
257	572.4600867
258	572.2151895
259	572.1313206
260	571.9808489
261	571.9553114
262	571.8679893
263	571.7718608
264	571.6469138
265	571.5984524
266	571.4689409
267	571.3788608
268	571.3276724
269	571.2399098
270	571.1870792
271	571.0318351
272	570.9582712
273	570.8238592
274	570.7480881
275	570.6568117
276	570.5474947
277	570.4333891
278	570.3711637
279	570.2999481
280	570.1834924
281	570.1032794
282	570.0060559
283	569.9574179
284	569.8878946
285	569.8157748
286	569.6930394
287	569.6115717
288	569.5028959
289	569.385068
290	569.2683507
291	569.1859997
292	569.0066285
293	568.9150108
294	568.8336789
295	568.7258505
296	568.7076042
297	568.6432875
298	568.560344
299	568.5022111
300	568.4092631
301	568.385628
302	568.2754622
303	568.2215746
304	568.1015382
305	567.9892655
306	567.8921903
307	567.8579407
308	567.7568038
309	567.6465547
310	567.5561659
311	567.491048
312	567.400707
313	567.3225545
314	567.1722758
315	567.0962554
316	567.0324736
317	566.9145705
318	566.8573677
319	566.7958217
320	566.6168164
321	566.600171
322	566.5773798
323	566.5024274
324	566.418563
325	566.2989833
326	566.2808297
327	566.2164086
328	566.1648644
329	566.1109713
330	566.0448088
331	565.9751174
332	565.8768471
333	565.80107
334	565.6926456
335	565.6458122
336	565.5385035
337	565.4367843
338	565.4187328
339	565.341586
340	565.2943338
341	565.2471125
342	565.1678543
343	565.152999
344	565.0966214
345	564.9820971
346	564.9181154
347	564.8645155
348	564.7708042
349	564.6786348
350	564.6157688
351	564.5576618
352	564.461254
353	564.438276
354	564.325438
355	564.1643337
356	564.0805842
357	564.0307735
358	563.9266238
359	563.8589572
360	563.7897972
361	563.7809663
362	563.7364735
363	563.6772089
364	563.5524611
365	563.4883897
366	563.4511284
367	563.3429307
368	563.2843059
369	563.2711739
370	563.262043
371	563.2200517
372	563.0608824
373	562.9831554
374	562.8939956
375	562.8087463
376	562.7766719
377	562.710845
378	562.652178
379	562.5667783
380	562.4935639
381	562.4460224
382	562.3747814
383	562.364985
384	562.3203383
385	562.1949855
386	562.1257761
387	562.0609496
388	562.0102134
389	561.9450036
390	561.8992634
391	561.7723832
392	561.705023
393	561.6403991
394	561.5854739
395	561.5243785
396	561.4445803
397	561.3604408
398	561.277775
399	561.1977371
400	561.1479689
401	561.0781196
402	561.0079348
403	560.9051765
404	560.8333431
405	560.7684372
406	560.7225513
407	560.6437111
408	560.5883211
409	560.5308126
410	560.4012334
411	560.3416459
412	560.2671229
413	560.1967575
414	560.1106265
415	560.0557446
416	559.9960072
417	559.9184993
418	559.822492
419	559.779338
420	559.6976099
421	559.6309781
422	559.6011964
423	559.5934513
424	559.5796439
425	559.525899
426	559.4651219
427	559.4131995
428	559.3492427
429	559.3118761
430	559.2688745
431	559.2186098
432	559.1717648
433	559.1122991
434	559.097107
435	559.0554593
436	559.0037137
437	558.9102081
438	558.8438824
439	558.8122064
440	558.7214899
441	558.6451193
442	558.6204245
443	558.5820144
444	558.490293
445	558.4271841
446	558.4121524
447	558.3579571
448	558.3084021
449	558.1929688
450	558.1264021
451	558.0737312
452	557.9622389
453	557.8944069
454	557.8357552
455	557.757979
456	557.7072419
457	557.6394183
458	557.6316608
459	557.5846401
460	557.4946945
461	557.4313124
462	557.3440909
463	557.2932412
464	557.2422999
465	557.2021912
466	557.114838
467	557.0307098
468	556.980802
469	556.9148183
470	556.8593919
471	556.7943108
472	556.7520643
473	556.6748544
474	556.6192483
475	556.5671186
476	556.4925556
477	556.4261978
478	556.3676647
479	556.3138972
480	556.2466935
481	556.1840368
482	556.1324539
483	556.0711712
484	555.968879
485	555.8805398
486	555.813104
487	555.7629108
488	555.735365
489	555.7106495
490	555.6815515
491	555.6509701
492	555.589262
493	555.5629732
494	555.4400634
495	555.3742837
496	555.3449049
497	555.2919511
498	555.2008377
499	555.1659745
500	555.1362461
501	555.0764417
502	555.0351173
503	555.0137968
504	554.9496159
505	554.8949798
506	554.8497913
507	554.7856601
508	554.6866462
509	554.6066998
510	554.5679681
511	554.4934422
512	554.4421045
513	554.4211952
514	554.3531279
515	554.3194439
516	554.2896636
517	554.2720024
518	554.2546512
519	554.1758852
520	554.0825452
521	554.0583695
522	553.9998722
523	553.9472254
524	553.8444927
525	553.7383471
526	553.6971356
527	553.6583646
528	553.5838511
529	553.5793464
530	553.5365969
531	553.4696749
532	553.415709
533	553.2966525
534	553.2366578
535	553.2111718
536	553.1672314
537	553.088067
538	553.0625976
539	553.0115495
540	552.9846308
541	552.9085029
542	552.8487603
543	552.8025102
544	552.7332484
545	552.7161733
546	552.6705725
547	552.6292287
548	552.5965065
549	552.5823473
550	552.5582812
551	552.5213439
552	552.4565841
553	552.399605
554	552.3615271
555	552.3100668
556	552.2901339
557	552.257264
558	552.2067225
559	552.1468676
560	552.0909113
561	552.0522895
562	551.998629
563	551.9564576
564	551.9306943
565	551.8800685
566	551.8275159
567	551.7698988
568	551.6869685
569	551.6726534
570	551.5779926
571	551.5157832
572	551.472834
573	551.4201938
574	551.3365653
575	551.23552
576	551.1893369
577	551.0928111
578	551.0785524
579	551.0177699
580	550.9988227
581	550.9533521
582	550.9086549
583	550.8833257
584	550.8322844
585	550.81547
586	550.7932972
587	550.7275565
588	550.6653979
589	550.5742021
590	550.5180433
591	550.4343587
592	550.3732452
593	550.3110557
594	550.272364
595	550.2234154
596	550.1732986
597	550.130337
598	550.0467735
599	549.8990078
600	549.8341843
601	549.7339936
602	549.6848821
603	549.6378027
604	549.6163924
605	549.5805961
606	549.5263571
607	549.4759646
608	549.4020264
609	549.3608831
610	549.2970662
611	549.2780373
612	549.2262271
613	549.1912416
614	549.1715847
615	549.1529531
616	549.1416962
617	549.0978028
618	549.0426717
619	548.9706258
620	548.9353135
621	548.9163504
622	548.8944831
623	548.8183132
624	548.8042484
625	548.7684631
626	548.7199531
627	548.6479729
628	548.5988914
629	548.5427365
630	548.4927393
631	548.44705
632	548.3818292
633	548.30528
634	548.1881176
635	548.1478137
636	548.0973544
637	548.0497178
638	548.0061712
639	547.9468731
640	547.9155951
641	547.9041345
642	547.8550939
643	547.8212006
644	547.8203562
645	547.798623
646	547.7587521
647	547.7535965
648	547.6911257
649	547.6664962
650	547.6086301
651	547.6075858
652	547.5775267
653	547.5667885
654	547.5513464
655	547.4821721
656	547.4381675
657	547.379693
658	547.332507
659	547.2947717
660	547.2571277
661	547.2541278
662	547.2000348
663	547.1993942
664	547.1966924
665	547.1961056
666	547.1762381
667	547.1317211
668	547.1024153
669	547.0498149
670	546.9850242
671	546.9446535
672	546.9085161
673	546.8759844
674	546.8184503
675	546.7881699
676	546.7793218
677	546.7449505
678	546.6940896
679	546.6654122
680	546.6337939
681	546.6332374
682	546.603783
683	546.5771728
684	546.5706568
685	546.5024825
686	546.4427312
687	546.3542145
688	546.3018433
689	546.272616
690	546.2717821
691	546.2712541
692	546.2016413
693	546.1715406
694	546.1269829
695	546.0385848
696	545.9789276
697	545.9238934
698	545.8629797
699	545.8293986
700	545.790647
701	545.7510233
702	545.7450755
703	545.7306172
704	545.6843357
705	545.6418711
706	545.5780639
707	545.5320263
708	545.4768137
709	545.4552771
710	545.4149936
711	545.3918413
712	545.3913493
713	545.3574885
714	545.3443445
715	545.3090873
716	545.2626124
717	545.2008218
718	545.1264351
719	545.0853067
720	545.0017431
721	544.9757231
722	544.9285751
723	544.8566287
724	544.8179743
725	544.7716404
726	544.7421293
727	544.7232883
728	544.6745029
729	544.6375697
730	544.6006364
731	544.5479374
732	544.5350596
733	544.4944598
734	544.4168868
735	544.370652
736	544.3420509
737	544.2205099
738	544.1799791
739	544.1333298
740	544.0704056
741	544.0387233
742	543.9913792
743	543.9392849
744	543.9102427
745	543.8497168
746	543.8087364
747	543.7684318
748	543.7270371
749	543.6267428
750	543.5869928
751	543.5605983
752	543.4956487
753	543.4493807
754	543.4171647
755	543.4166974
756	543.3517917
757	543.3513513
758	543.2725123
759	543.2494638
760	543.1973769
761	543.1399899
762	543.0867224
763	543.0467772
764	542.9854233
765	542.9381811
766	542.9377264
767	542.9006099
768	542.9001862
769	542.8997881
770	542.883221
771	542.8824158
772	542.8081407
773	542.806845
774	542.7645938
775	542.6658134
776	542.6245351
777	542.5737971
778	542.5422775
779	542.5171455
780	542.4801258
781	542.4027743
782	542.3382836
783	542.2578255
784	542.2037406
785	542.1884275
786	542.1597795
787	542.1116051
788	542.0670795
789	542.0366194
790	541.9829918
791	541.9540951
792	541.894819
793	541.8444208
794	541.7904822
795	541.7591511
796	541.7588134
797	541.7584101
798	541.7081727
799	541.6735928
800	541.6292409
801	541.6076621
802	541.5577053
803	541.5157139
804	541.5052976
805	541.488146
806	541.4398921
807	541.4108611
808	541.4105967
809	541.3920297
810	541.3858327
811	541.3462193
812	541.3186772
813	541.2763902
814	541.240178
815	541.1730437
816	541.1393644
