iter	Passed	Remaining
0	214	214224
1	235	117497
2	254	84595
3	271	67507
4	288	57419
5	305	50549
6	323	45864
7	341	42304
8	358	39517
9	377	37335
10	394	35468
11	417	34367
12	440	33414
13	458	32268
14	476	31260
15	493	30358
16	512	29606
17	530	28950
18	548	28329
19	566	27776
20	587	27401
21	606	26960
22	623	26496
23	642	26129
24	660	25755
25	677	25386
26	696	25089
27	716	24864
28	733	24575
29	752	24329
30	771	24101
31	789	23868
32	806	23636
33	823	23407
34	843	23251
35	868	23262
36	892	23225
37	917	23223
38	949	23392
39	973	23373
40	1005	23519
41	1023	23343
42	1043	23219
43	1060	23049
44	1078	22896
45	1095	22728
46	1117	22658
47	1135	22524
48	1152	22363
49	1170	22234
50	1191	22162
51	1208	22035
52	1226	21920
53	1246	21835
54	1263	21709
55	1284	21653
56	1303	21563
57	1319	21436
58	1338	21353
59	1355	21239
60	1373	21136
61	1390	21040
62	1407	20935
63	1427	20882
64	1451	20877
65	1469	20798
66	1487	20707
67	1517	20799
68	1547	20882
69	1566	20810
70	1585	20740
71	1602	20655
72	1619	20570
73	1638	20498
74	1654	20407
75	1672	20331
76	1692	20288
77	1710	20220
78	1728	20150
79	1744	20057
80	1763	20004
81	1781	19938
82	1798	19871
83	1816	19804
84	1838	19786
85	1854	19709
86	1871	19638
87	1888	19573
88	1907	19520
89	1924	19460
90	1940	19383
91	1959	19336
92	1978	19300
93	1995	19234
94	2013	19176
95	2032	19141
96	2049	19082
97	2068	19035
98	2087	18994
99	2103	18928
100	2122	18889
101	2140	18840
102	2158	18795
103	2178	18766
104	2199	18750
105	2220	18727
106	2241	18709
107	2262	18682
108	2278	18622
109	2297	18585
110	2314	18535
111	2332	18496
112	2351	18454
113	2367	18401
114	2386	18365
115	2404	18323
116	2422	18280
117	2439	18232
118	2458	18198
119	2474	18145
120	2492	18108
121	2508	18055
122	2529	18035
123	2546	17987
124	2564	17949
125	2583	17917
126	2600	17873
127	2616	17826
128	2632	17777
129	2651	17741
130	2670	17715
131	2690	17688
132	2707	17651
133	2726	17620
134	2744	17582
135	2762	17550
136	2781	17520
137	2796	17469
138	2814	17431
139	2833	17402
140	2851	17372
141	2866	17320
142	2885	17292
143	2902	17254
144	2921	17228
145	2940	17197
146	2959	17175
147	2977	17141
148	2992	17093
149	3011	17063
150	3029	17033
151	3045	16989
152	3062	16956
153	3080	16924
154	3097	16886
155	3114	16849
156	3130	16806
157	3145	16763
158	3163	16731
159	3179	16693
